date,value_APU000074714,value_WPS012202
1979-01-01,0.716,91.8
1979-02-01,0.730,93.7
1979-03-01,0.755,94.3
1979-04-01,0.802,96.8
1979-05-01,0.844,100.9
1979-06-01,0.901,102.2
1979-07-01,0.949,116.2
1979-08-01,0.988,113.0
1979-09-01,1.020,114.0
1979-10-01,1.028,114.2
1979-11-01,1.041,106.8
1979-12-01,1.065,111.1
1980-01-01,1.131,102.8
1980-02-01,1.207,107.6
1980-03-01,1.252,105.0
1980-04-01,1.264,101.6
1980-05-01,1.266,103.6
1980-06-01,1.269,101.2
1980-07-01,1.271,116.1
1980-08-01,1.267,131.9
1980-09-01,1.257,143.3
1980-10-01,1.250,140.7
1980-11-01,1.250,138.9
1980-12-01,1.258,142.1
1981-01-01,1.298,149.2
1981-02-01,1.382,140.2
1981-03-01,1.417,139.1
1981-04-01,1.412,136.4
1981-05-01,1.400,132.7
1981-06-01,1.391,131.0
1981-07-01,1.382,128.3
1981-08-01,1.376,122.0
1981-09-01,1.376,111.7
1981-10-01,1.371,109.8
1981-11-01,1.369,107.6
1981-12-01,1.365,102.1
1982-01-01,1.358,108.6
1982-02-01,1.334,105.3
1982-03-01,1.284,105.2
1982-04-01,1.225,103.6
1982-05-01,1.237,106.1
1982-06-01,1.309,103.4
1982-07-01,1.331,98.6
1982-08-01,1.323,94.0
1982-09-01,1.307,86.1
1982-10-01,1.295,87.4
1982-11-01,1.283,98.9
1982-12-01,1.260,103.4
1983-01-01,1.230,102.4
1983-02-01,1.187,112.6
1983-03-01,1.152,114.8
1983-04-01,1.215,120.5
1983-05-01,1.259,120.9
1983-06-01,1.277,122.3
1983-07-01,1.288,121.7
1983-08-01,1.285,140.1
1983-09-01,1.274,148.2
1983-10-01,1.255,151.4
1983-11-01,1.241,150.4
1983-12-01,1.231,141.8
1984-01-01,1.216,136.7
1984-02-01,1.209,129.4
1984-03-01,1.210,136.9
1984-04-01,1.227,136.0
1984-05-01,1.236,130.5
1984-06-01,1.229,132.4
1984-07-01,1.212,131.7
1984-08-01,1.196,132.1
1984-09-01,1.203,131.1
1984-10-01,1.209,125.7
1984-11-01,1.207,116.2
1984-12-01,1.193,114.8
1985-01-01,1.148,116.0
1985-02-01,1.131,113.0
1985-03-01,1.159,112.0
1985-04-01,1.205,109.5
1985-05-01,1.231,104.1
1985-06-01,1.241,105.2
1985-07-01,1.242,105.8
1985-08-01,1.229,101.8
1985-09-01,1.216,100.4
1985-10-01,1.204,97.8
1985-11-01,1.207,99.9
1985-12-01,1.208,103.9
1986-01-01,1.194,102.3
1986-02-01,1.120,101.7
1986-03-01,0.981,96.9
1986-04-01,0.888,94.1
1986-05-01,0.923,93.8
1986-06-01,0.955,95.5
1986-07-01,0.890,78.3
1986-08-01,0.843,70.3
1986-09-01,0.860,63.1
1986-10-01,0.831,63.0
1986-11-01,0.821,66.9
1986-12-01,0.823,71.4
1987-01-01,0.862,63.7
1987-02-01,0.905,62.0
1987-03-01,0.912,62.1
1987-04-01,0.934,65.5
1987-05-01,0.941,68.7
1987-06-01,0.958,69.1
1987-07-01,0.971,63.8
1987-08-01,0.995,60.8
1987-09-01,0.990,68.4
1987-10-01,0.976,73.9
1987-11-01,0.976,75.4
1987-12-01,0.961,78.6
1988-01-01,0.933,75.4
1988-02-01,0.913,81.9
1988-03-01,0.904,80.4
1988-04-01,0.930,77.9
1988-05-01,0.955,74.0
1988-06-01,0.955,95.7
1988-07-01,0.967,109.9
1988-08-01,0.987,116.0
1988-09-01,0.974,118.4
1988-10-01,0.957,122.4
1988-11-01,0.949,107.6
1988-12-01,0.930,110.5
1989-01-01,0.918,117.1
1989-02-01,0.926,110.8
1989-03-01,0.940,111.9
1989-04-01,1.065,105.2
1989-05-01,1.119,102.6
1989-06-01,1.114,96.8
1989-07-01,1.092,97.2
1989-08-01,1.057,96.7
1989-09-01,1.029,97.7
1989-10-01,1.027,96.3
1989-11-01,0.999,99.5
1989-12-01,0.980,98.2
1990-01-01,1.042,96.1
1990-02-01,1.037,98.5
1990-03-01,1.023,96.6
1990-04-01,1.044,107.1
1990-05-01,1.061,106.8
1990-06-01,1.088,110.2
1990-07-01,1.084,107.9
1990-08-01,1.190,102.5
1990-09-01,1.294,98.1
1990-10-01,1.378,95.8
1990-11-01,1.377,94.6
1990-12-01,1.354,95.7
1991-01-01,1.247,94.8
1991-02-01,1.143,95.8
1991-03-01,1.082,97.5
1991-04-01,1.104,97.7
1991-05-01,1.156,93.0
1991-06-01,1.160,90.8
1991-07-01,1.127,87.7
1991-08-01,1.140,104.0
1991-09-01,1.143,101.5
1991-10-01,1.122,103.8
1991-11-01,1.134,103.4
1991-12-01,1.123,97.0
1992-01-01,1.073,101.2
1992-02-01,1.054,101.8
1992-03-01,1.058,103.5
1992-04-01,1.079,97.6
1992-05-01,1.136,99.5
1992-06-01,1.179,101.5
1992-07-01,1.174,95.4
1992-08-01,1.158,92.4
1992-09-01,1.158,93.6
1992-10-01,1.154,90.3
1992-11-01,1.159,86.9
1992-12-01,1.136,86.0
1993-01-01,1.117,85.2
1993-02-01,1.108,83.4
1993-03-01,1.098,83.3
1993-04-01,1.112,88.6
1993-05-01,1.129,86.8
1993-06-01,1.130,79.5
1993-07-01,1.109,90.9
1993-08-01,1.097,96.9
1993-09-01,1.085,95.4
1993-10-01,1.127,101.6
1993-11-01,1.113,110.0
1993-12-01,1.070,117.6
1994-01-01,1.043,118.8
1994-02-01,1.051,117.0
1994-03-01,1.045,108.9
1994-04-01,1.064,104.4
1994-05-01,1.080,99.9
1994-06-01,1.106,106.4
1994-07-01,1.136,91.8
1994-08-01,1.182,90.8
1994-09-01,1.177,92.6
1994-10-01,1.152,87.6
1994-11-01,1.163,88.5
1994-12-01,1.143,91.5
1996-01-01,1.129,143.5
1996-02-01,1.124,147.8
1996-03-01,1.162,147.4
1996-04-01,1.251,167.1
1996-05-01,1.323,188.6
1996-06-01,1.299,186.1
1996-07-01,1.272,205.9
1996-08-01,1.240,200.7
1996-09-01,1.234,154.1
1996-10-01,1.227,125.6
1996-11-01,1.250,114.8
1996-12-01,1.260,110.2
1997-01-01,1.261,111.8
1997-02-01,1.255,109.6
1997-03-01,1.235,111.9
1997-04-01,1.231,112.1
1997-05-01,1.226,105.5
1997-06-01,1.229,104.1
1997-07-01,1.205,103.6
1997-08-01,1.253,108.4
1997-09-01,1.277,112.8
1997-10-01,1.242,116.6
1997-11-01,1.213,112.8
1997-12-01,1.177,113.7
1998-01-01,1.131,109.1
1998-02-01,1.082,105.7
1998-03-01,1.041,100.8
1998-04-01,1.052,93.4
1998-05-01,1.092,89.7
1998-06-01,1.094,89.1
1998-07-01,1.079,89.8
1998-08-01,1.052,83.6
1998-09-01,1.033,77.7
1998-10-01,1.042,86.1
1998-11-01,1.028,86.6
1998-12-01,0.986,86.3
2005-01-01,1.823,77.9
2005-02-01,1.918,73.9
2005-03-01,2.065,78.4
2005-04-01,2.283,72.1
2005-05-01,2.216,72.1
2005-06-01,2.176,74.6
2005-07-01,2.316,84.7
2005-08-01,2.506,79.6
2005-09-01,2.927,71.9
2005-10-01,2.785,72.3
2005-11-01,2.343,76.6
2005-12-01,2.186,77.9
2006-01-01,2.315,77.8
2006-02-01,2.310,77.3
2006-03-01,2.401,76.0
2006-04-01,2.757,83.2
2006-05-01,2.947,82.0
2006-06-01,2.917,79.8
2006-07-01,2.999,93.5
2006-08-01,2.985,86.0
2006-09-01,2.589,90.6
2006-10-01,2.272,124.3
2006-11-01,2.241,150.1
2006-12-01,2.334,139.9
2007-01-01,2.274,134.2
2007-02-01,2.285,152.3
2007-03-01,2.592,146.3
2007-04-01,2.860,128.9
2007-05-01,3.130,134.6
2007-06-01,3.052,140.5
2007-07-01,2.961,131.9
2007-08-01,2.782,131.6
2007-09-01,2.789,133.9
2007-10-01,2.793,140.7
2007-11-01,3.069,155.0
